#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status","DisplayName"
"AarSvc_7ef0d","Stopped","Agent Activation Runtime_7ef0d"
"ADPSvc","Stopped","Aggregated Data Platform Service"
"ALG","Stopped","Application Layer Gateway Service"
"AppIDSvc","Running","Application Identity"
"Appinfo","Running","Application Information"
"AppReadiness","Stopped","App Readiness"
"AppXSvc","Running","AppX Deployment Service (AppXSVC)"
"ApxSvc","Stopped","Windows Virtual Audio Device Proxy Service"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"autotimesvc","Stopped","Cellular Time"
"AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_7ef0d","Stopped","GameDVR and Broadcast User Service_7ef0d"
"BDESVC","Running","BitLocker Drive Encryption Service"
"BFE","Running","Base Filtering Engine"
"BITS","Stopped","Background Intelligent Transfer Service"
"BluetoothUserService_7ef0d","Running","Bluetooth User Support Service_7ef0d"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Running","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Running","AVCTP service"
"bthserv","Running","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"CaptureService_7ef0d","Stopped","CaptureService_7ef0d"
"cbdhsvc_7ef0d","Running","Clipboard User Service_7ef0d"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_7ef0d","Running","Connected Devices Platform User Service_7ef0d"
"CertPropSvc","Stopped","Certificate Propagation"
"ClickToRunSvc","Running","Microsoft Office Click-to-Run Service"
"ClipSVC","Stopped","Client License Service (ClipSVC)"
"CloudBackupRestoreSvc_7ef0d","Stopped","Cloud Backup and Restore Service_7ef0d"
"COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_7ef0d","Stopped","ConsentUX User Service_7ef0d"
"CoreMessagingRegistrar","Running","CoreMessaging"
"cplspcon","Running","Intel(R) Content Protection HDCP Service"
"CredentialEnrollmentManagerUserSvc_7ef0d","Stopped","CredentialEnrollmentManagerUserSvc_7ef0d"
"CryptSvc","Running","Cryptographic Services"
"DcomLaunch","Running","DCOM Server Process Launcher"
"dcsvc","Stopped","Declared Configuration(DC) service"
"defragsvc","Stopped","Optimize drives"
"DeviceAssociationBrokerSvc_7ef0d","Stopped","DeviceAssociationBroker_7ef0d"
"DeviceAssociationService","Running","Device Association Service"
"DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_7ef0d","Stopped","DevicePicker_7ef0d"
"DevicesFlowUserSvc_7ef0d","Running","DevicesFlow_7ef0d"
